xDId,xDNumPoints,xDUsuId,xDSdk,xDSerie,xDAndroV,xDManufact
588,1056,597,23,D6603,Marshmallow - 6,Sony
567,19,576,26,ANE-LX3,Oreo - 8,Huawei
569,875,578,22,SAMSUNG-SM-G920A,Lollipop - 5,Samsung
571,33,580,26,SM-A750G,Oreo - 8,Samsung
961,1393,963,24,LG-M400,Nougat - 7,LG
539,978,548,23,SM-G610M,Marshmallow - 6,Samsung
574,478,583,23,SM-G930P,Marshmallow - 6,Samsung
979,1408,968,24,LG-M400,Nougat - 7,LG
962,869,964,23,F3313,Marshmallow - 6,Sony
581,126,590,26,SM-J600G,Oreo - 8,Samsung
965,1114,967,24,LG-M400,Nougat - 7,LG
583,30,592,26,SM-G950F,Oreo - 8,Samsung
584,197,593,26,ANE-LX3,Oreo - 8,Huawei
696,1448,701,23,SM-J500M,Marshmallow - 6,Samsung
586,48,595,27,SM-J710MN,Oreo - 8,Samsung
642,1240,649,23,SM-J700M,Marshmallow - 6,Samsung
479,1508,488,23,SM-G610M,Marshmallow - 6,Samsung
577,1150,586,23,SM-N910C,Marshmallow - 6,Samsung
590,1313,599,26,RNE-L23,Oreo - 8,Huawei
592,5341,245,21,SM-G900V,Lollipop - 5,Samsung
593,3,600,26,ANE-LX3,Oreo - 8,Huawei
250,2501,259,23,SAMSUNG-SM-J120A,Marshmallow - 6,Samsung
595,42,602,26,ANE-LX3,Oreo - 8,Huawei
955,1737,957,23,SM-G610M,Marshmallow - 6,Samsung
601,86,608,27,SM-J415F,Oreo - 8,Samsung
711,1985,716,25,SM-J510MN,Nougat - 7,Samsung
989,2744,989,24,LG-M400,Nougat - 7,LG
309,2662,318,23,SM-G532M,Marshmallow - 6,Samsung
605,5,612,27,SNE-LX3,Oreo - 8,Huawei
606,997,613,21,ALE-L23,Lollipop - 5,Huawei
607,329,614,26,ANE-LX3,Oreo - 8,Huawei
610,1,617,26,FIG-LX3,Oreo - 8,Huawei
614,1449,621,26,ANE-LX3,Oreo - 8,Huawei
615,2409,622,26,F8131,Oreo - 8,Sony
626,3,633,27,TA-1044,Oreo - 8,Nokia
709,1808,714,23,MYA-L23,Marshmallow - 6,Huawei
981,1623,981,24,LG-M400,Nougat - 7,LG
632,2,639,26,FLA-LX3,Oreo - 8,Huawei
178,2904,188,24,F3113,Nougat - 7,Sony
635,190,642,26,SM-J810M,Oreo - 8,Samsung
582,1983,591,24,SM-G925I,Nougat - 7,Samsung
394,1297,403,24,HUAWEI CAN-L13,Nougat - 7,Huawei
783,9,788,23,SM-J320V,Marshmallow - 6,Samsung
644,68,651,26,SM-A720F,Oreo - 8,Samsung
645,26,652,27,LM-Q710(FGN),Oreo - 8,LG
380,2119,389,24,SM-A510M,Nougat - 7,Samsung
314,2288,323,25,SM-J250M,Nougat - 7,Samsung
982,1684,982,24,G3313,Nougat - 7,Sony
649,625,656,26,FIG-LX3,Oreo - 8,Huawei
634,2058,641,24,SM-J730G,Nougat - 7,Samsung
736,3828,741,23,SM-G610M,Marshmallow - 6,Samsung
176,2299,186,24,TRT-L53,Nougat - 7,Huawei
548,3913,557,24,Moto G (4),Nougat - 7,Motorola
655,8,662,26,ATU-LX3,Oreo - 8,Huawei
658,16,665,27,Redmi Note 5,Oreo - 8,Xiaomi
659,35,666,26,SM-G570M,Oreo - 8,Samsung
901,4106,904,24,SM-J710MN,Nougat - 7,Samsung
980,2439,980,23,SM-G610M,Marshmallow - 6,Samsung
662,57,669,26,FIG-LX3,Oreo - 8,Huawei
664,9,671,27,Redmi Note 5,Oreo - 8,Xiaomi
579,1699,588,23,SM-J500M,Marshmallow - 6,Samsung
666,94,673,27,SM-G610M,Oreo - 8,Samsung
667,907,674,22,SM-N910V,Lollipop - 5,Samsung
604,1941,611,23,BLL-L23,Marshmallow - 6,Huawei
672,3900,679,23,SM-G532M,Marshmallow - 6,Samsung
674,64,681,27,SM-G610M,Oreo - 8,Samsung
675,1,682,26,SM-A520F,Oreo - 8,Samsung
677,1,213,26,SM-N950F,Oreo - 8,Samsung
678,1,684,27,SM-J530G,Oreo - 8,Samsung
679,35,315,27,SNE-LX3,Oreo - 8,Huawei
680,167,685,26,SM-G960U1,Oreo - 8,Samsung
